fecha,frecuencia
03/07,1
03/08,2
03/09,2
03/10,0
03/11,0
03/12,0
03/13,0
03/14,2
03/15,0
03/16,0
03/17,1
03/18,0
03/19,2
03/20,1
03/21,1
03/22,0
03/23,0
03/24,0
03/25,1
03/26,0
03/27,0
03/28,0
03/29,0
03/30,1
04/01,0
04/02,1
04/03,1
