username,event_type,time
Alejandro_Ramos,edx.course.enrollment.activated,2016-03-10
victorsoler,edx.course.enrollment.activated,2016-03-10
amarieber,edx.course.enrollment.activated,2016-03-10
gerarduouo,edx.course.enrollment.activated,2016-03-10
sfrias,edx.course.enrollment.activated,2016-03-10
jsubiras123,edx.course.enrollment.activated,2016-03-10
ramonprada,edx.course.enrollment.activated,2016-03-10
CristinaPanebra,edx.course.enrollment.activated,2016-03-10
VictorD,edx.course.enrollment.activated,2016-03-11
LaiaSerra,edx.course.enrollment.activated,2016-03-11
Wilmon,edx.course.enrollment.activated,2016-03-11
LaiaHernandez,edx.course.enrollment.activated,2016-03-11
ncast,edx.course.enrollment.activated,2016-03-12
Edi-Bcn,edx.course.enrollment.activated,2016-03-12
rosanabp,edx.course.enrollment.activated,2016-03-12
jordioms,edx.course.enrollment.activated,2016-03-13
ignasipardo,edx.course.enrollment.activated,2016-03-13
Rachel,edx.course.enrollment.activated,2016-03-14
Planas,edx.course.enrollment.activated,2016-03-14
SilviaFC,edx.course.enrollment.activated,2016-03-14
frosines,edx.course.enrollment.activated,2016-03-14
fsuarezj,edx.course.enrollment.activated,2016-03-14
Rox,edx.course.enrollment.activated,2016-03-14
BJA,edx.course.enrollment.activated,2016-03-15
LOLA_ISABEL,edx.course.enrollment.activated,2016-03-15
Maria_Isabel_Iglesias,edx.course.enrollment.activated,2016-03-15
jleiva,edx.course.enrollment.activated,2016-03-15
jp8,edx.course.enrollment.activated,2016-03-15
AlbertRC,edx.course.enrollment.activated,2016-03-15
cayocandia,edx.course.enrollment.activated,2016-03-15
Arnaucanal,edx.course.enrollment.activated,2016-03-15
JoanG,edx.course.enrollment.activated,2016-03-15
JordiS,edx.course.enrollment.activated,2016-03-16
annaesco,edx.course.enrollment.activated,2016-03-16
Danielle,edx.course.enrollment.activated,2016-03-16
Llorenc,edx.course.enrollment.activated,2016-03-16
rosaprats,edx.course.enrollment.activated,2016-03-16
Villanueva,edx.course.enrollment.activated,2016-03-16
Melendres,edx.course.enrollment.activated,2016-03-16
Cborrell,edx.course.enrollment.activated,2016-03-16
Joal,edx.course.enrollment.activated,2016-03-17
Premianenca,edx.course.enrollment.activated,2016-03-17
joseplluisat,edx.course.enrollment.activated,2016-03-17
StatusQ,edx.course.enrollment.activated,2016-03-17
Sofia,edx.course.enrollment.activated,2016-03-17
annaperez9619,edx.course.enrollment.activated,2016-03-17
